JDTDB,Calendar Date (TDB),X,Y,Z,VX,VY,VZ,LT,RG,RR,
2458347.844714629, A.D. 2018-Aug-17 08:16:23.3440,  2.016747213777933E+07, -1.069250746788600E+08, -2.690299776930377E+06,  3.417631307509095E+01,  6.372015994317101E+00, -1.875523279817040E+00,  3.630632764676441E+02,  1.088436320617686E+08,  1.191367403159967E-01,
2458348.094714629, A.D. 2018-Aug-17 14:16:23.3440,  2.090519039158602E+07, -1.067848730999081E+08, -2.730746164047927E+06,  3.413065985836011E+01,  6.609556951381673E+00, -1.869497649621317E+00,  3.630718089134186E+02,  1.088461900246601E+08,  1.177107417546727E-01,
2458348.344714629, A.D. 2018-Aug-17 20:16:23.3440,  2.164190486782240E+07, -1.066395442232661E+08, -2.771061432148509E+06,  3.408337111101920E+01,  6.846763922144557E+00, -1.863382679905637E+00,  3.630802384151967E+02,  1.088487171257179E+08,  1.162791745222698E-01,
2458348.594714629, A.D. 2018-Aug-18 02:16:23.3440,  2.237758026544247E+07, -1.064890953833890E+08, -2.811243654740416E+06,  3.403444929118921E+01,  7.083625766103675E+00, -1.857178671510801E+00,  3.630885645742237E+02,  1.088512132453982E+08,  1.148421071310793E-01,
2458348.844714629, A.D. 2018-Aug-18 08:16:23.3440,  2.311218133729035E+07, -1.063335341551643E+08, -2.851290911872946E+06,  3.398389693055184E+01,  7.320131361560878E+00, -1.850885929241746E+00,  3.630967869966887E+02,  1.088536782656397E+08,  1.133996083321427E-01,
2458349.094714629, A.D. 2018-Aug-18 14:16:23.3440,  2.384567289168759E+07, -1.061728683535011E+08, -2.891201290221840E+06,  3.393171663420067E+01,  7.556269606079262E+00, -1.844504761852454E+00,  3.631049052937439E+02,  1.088561120698687E+08,  1.119517471121417E-01,
2458349.344714629, A.D. 2018-Aug-18 20:16:23.3440,  2.457801979401728E+07, -1.060071060329088E+08, -2.930972883174509E+06,  3.387791108049028E+01,  7.792029416939223E+00, -1.838035482030726E+00,  3.631129190815196E+02,  1.088585145430039E+08,  1.104985926904143E-01,
2458349.594714629, A.D. 2018-Aug-19 02:16:23.3440,  2.530918696830480E+07, -1.058362554870669E+08, -2.970603790914677E+06,  3.382248302088263E+01,  8.027399731593270E+00, -1.831478406382842E+00,  3.631208279811423E+02,  1.088608855714618E+08,  1.090402145158198E-01,
2458349.844714629, A.D. 2018-Aug-19 08:16:23.3440,  2.603913939879526E+07, -1.056603252483836E+08, -3.010092120507024E+06,  3.376543527979135E+01,  8.262369508119576E+00, -1.824833855418098E+00,  3.631286316187499E+02,  1.088632250431616E+08,  1.075766822637317E-01,
2458350.094714629, A.D. 2018-Aug-19 14:16:23.3440,  2.676784213152756E+07, -1.054793240875459E+08, -3.049435985981189E+06,  3.370677075442344E+01,  8.496927725674292E+00, -1.818102153533228E+00,  3.631363296255088E+02,  1.088655328475295E+08,  1.061080658328853E-01,
