            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2460140.097222222, A.D. 2023-Jul-14 14:20:00.0000,  9.670767999492229E+04,  3.415418069217735E+05,  1.750138683728432E+05, -9.535560984117826E-01,  2.290555104686685E-01,  1.681746882635307E-01,
2460140.104166667, A.D. 2023-Jul-14 14:30:00.0000,  9.613543018672943E+04,  3.416788432939284E+05,  1.751145693338748E+05, -9.539428782897854E-01,  2.277323496049528E-01,  1.674951375002507E-01,
2460140.111111111, A.D. 2023-Jul-14 14:40:00.0000,  9.556294900170881E+04,  3.418150856850661E+05,  1.752148624847912E+05, -9.543273544965627E-01,  2.264089075747616E-01,  1.668153214755037E-01,
2460140.118055556, A.D. 2023-Jul-14 14:50:00.0000,  9.499023782207660E+04,  3.419505339273806E+05,  1.753147476669082E+05, -9.547095269882506E-01,  2.250851873570685E-01,  1.661352417649152E-01,
2460140.125000000, A.D. 2023-Jul-14 15:00:00.0000,  9.441729803007386E+04,  3.420851878548526E+05,  1.754142247224869E+05, -9.550893957253753E-01,  2.237611919296092E-01,  1.654548999436852E-01,
2460140.131944444, A.D. 2023-Jul-14 15:10:00.0000,  9.384413100796413E+04,  3.422190473032495E+05,  1.755132934947335E+05, -9.554669606728482E-01,  2.224369242688793E-01,  1.647742975865860E-01,
2460140.138888889, A.D. 2023-Jul-14 15:20:00.0000,  9.327073813803055E+04,  3.423521121101238E+05,  1.756119538277986E+05, -9.558422217999615E-01,  2.211123873501303E-01,  1.640934362679602E-01,
2460140.145833333, A.D. 2023-Jul-14 15:30:00.0000,  9.269712080257352E+04,  3.424843821148129E+05,  1.757102055667775E+05, -9.562151790803852E-01,  2.197875841473666E-01,  1.634123175617191E-01,
2460140.152777778, A.D. 2023-Jul-14 15:40:00.0000,  9.212328038390786E+04,  3.426158571584383E+05,  1.758080485577098E+05, -9.565858324921621E-01,  2.184625176333432E-01,  1.627309430413403E-01,
2460140.159722222, A.D. 2023-Jul-14 15:50:00.0000,  9.154921826436020E+04,  3.427465370839050E+05,  1.759054826475789E+05, -9.569541820177048E-01,  2.171371907795611E-01,  1.620493142798663E-01,
2460140.166666667, A.D. 2023-Jul-14 16:00:00.0000,  9.097493582626650E+04,  3.428764217358999E+05,  1.760025076843119E+05, -9.573202276437909E-01,  2.158116065562656E-01,  1.613674328499025E-01,
2460140.173611111, A.D. 2023-Jul-14 16:10:00.0000,  9.040043445196934E+04,  3.430055109608924E+05,  1.760991235167795E+05, -9.576839693615591E-01,  2.144857679324422E-01,  1.606853003236153E-01,
2460140.180555556, A.D. 2023-Jul-14 16:20:00.0000,  8.982571552381523E+04,  3.431338046071323E+05,  1.761953299947954E+05, -9.580454071665063E-01,  2.131596778758134E-01,  1.600029182727298E-01,
2460140.187500000, A.D. 2023-Jul-14 16:30:00.0000,  8.925078042415215E+04,  3.432613025246501E+05,  1.762911269691162E+05, -9.584045410584812E-01,  2.118333393528364E-01,  1.593202882685287E-01,
2460140.194444444, A.D. 2023-Jul-14 16:40:00.0000,  8.867563053532685E+04,  3.433880045652555E+05,  1.763865142914411E+05, -9.587613710416832E-01,  2.105067553286992E-01,  1.586374118818498E-01,
2460140.201388889, A.D. 2023-Jul-14 16:50:00.0000,  8.810026723968222E+04,  3.435139105825371E+05,  1.764814918144119E+05, -9.591158971246565E-01,  2.091799287673174E-01,  1.579542906830843E-01,
2460140.208333333, A.D. 2023-Jul-14 17:00:00.0000,  8.752469191955478E+04,  3.436390204318613E+05,  1.765760593916124E+05, -9.594681193202865E-01,  2.078528626313319E-01,  1.572709262421749E-01,
2460140.215277778, A.D. 2023-Jul-14 17:10:00.0000,  8.694890595727194E+04,  3.437633339703720E+05,  1.766702168775680E+05, -9.598180376457965E-01,  2.065255598821050E-01,  1.565873201286143E-01,
2460140.222222222, A.D. 2023-Jul-14 17:20:00.0000,  8.637291073514953E+04,  3.438868510569893E+05,  1.767639641277460E+05, -9.601656521227424E-01,  2.051980234797173E-01,  1.559034739114427E-01,
2460140.229166667, A.D. 2023-Jul-14 17:30:00.0000,  8.579670763548921E+04,  3.440095715524089E+05,  1.768573009985548E+05, -9.605109627770104E-01,  2.038702563829652E-01,  1.552193891592460E-01,
2460140.236111111, A.D. 2023-Jul-14 17:40:00.0000,  8.522029804057565E+04,  3.441314953191014E+05,  1.769502273473437E+05, -9.608539696388115E-01,  2.025422615493573E-01,  1.545350674401549E-01,
2460140.243055556, A.D. 2023-Jul-14 17:50:00.0000,  8.464368333267423E+04,  3.442526222213120E+05,  1.770427430324031E+05, -9.611946727426783E-01,  2.012140419351107E-01,  1.538505103218415E-01,
2460140.250000000, A.D. 2023-Jul-14 18:00:00.0000,  8.406686489402829E+04,  3.443729521250585E+05,  1.771348479129635E+05, -9.615330721274612E-01,  1.998856004951496E-01,  1.531657193715187E-01,
2460140.256944444, A.D. 2023-Jul-14 18:10:00.0000,  8.348984410685652E+04,  3.444924848981317E+05,  1.772265418491959E+05, -9.618691678363241E-01,  1.985569401831004E-01,  1.524806961559378E-01,
2460140.263888889, A.D. 2023-Jul-14 18:20:00.0000,  8.291262235335044E+04,  3.446112204100942E+05,  1.773178247022109E+05, -9.622029599167408E-01,  1.972280639512893E-01,  1.517954422413865E-01,
2460140.270833333, A.D. 2023-Jul-14 18:30:00.0000,  8.233520101567177E+04,  3.447291585322795E+05,  1.774086963340589E+05, -9.625344484204895E-01,  1.958989747507399E-01,  1.511099591936875E-01,
2460140.277777778, A.D. 2023-Jul-14 18:40:00.0000,  8.175758147594999E+04,  3.448462991377913E+05,  1.774991566077298E+05, -9.628636334036514E-01,  1.945696755311686E-01,  1.504242485781962E-01,
2460140.284722222, A.D. 2023-Jul-14 18:50:00.0000,  8.117976511627945E+04,  3.449626421015029E+05,  1.775892053871522E+05, -9.631905149266051E-01,  1.932401692409828E-01,  1.497383119597991E-01,
2460140.291666667, A.D. 2023-Jul-14 19:00:00.0000,  8.060175331871716E+04,  3.450781873000558E+05,  1.776788425371938E+05, -9.635150930540226E-01,  1.919104588272774E-01,  1.490521509029120E-01,
2460140.298611111, A.D. 2023-Jul-14 19:10:00.0000,  8.002354746527995E+04,  3.451929346118600E+05,  1.777680679236608E+05, -9.638373678548665E-01,  1.905805472358313E-01,  1.483657669714777E-01,
2460140.305555556, A.D. 2023-Jul-14 19:20:00.0000,  7.944514893794202E+04,  3.453068839170922E+05,  1.778568814132974E+05, -9.641573394023842E-01,  1.892504374111051E-01,  1.476791617289649E-01,
2460140.312500000, A.D. 2023-Jul-14 19:30:00.0000,  7.886655911863229E+04,  3.454200350976953E+05,  1.779452828737859E+05, -9.644750077741060E-01,  1.879201322962371E-01,  1.469923367383657E-01,
2460140.319444444, A.D. 2023-Jul-14 19:40:00.0000,  7.828777938923195E+04,  3.455323880373780E+05,  1.780332721737463E+05, -9.647903730518397E-01,  1.865896348330411E-01,  1.463052935621940E-01,
2460140.326388889, A.D. 2023-Jul-14 19:50:00.0000,  7.770881113157173E+04,  3.456439426216134E+05,  1.781208491827358E+05, -9.651034353216674E-01,  1.852589479620027E-01,  1.456180337624835E-01,
2460140.333333333, A.D. 2023-Jul-14 20:00:00.0000,  7.712965572742948E+04,  3.457546987376387E+05,  1.782080137712489E+05, -9.654141946739412E-01,  1.839280746222767E-01,  1.449305589007863E-01,
2460140.340277778, A.D. 2023-Jul-14 20:10:00.0000,  7.655031455852761E+04,  3.458646562744540E+05,  1.782947658107166E+05, -9.657226512032793E-01,  1.825970177516835E-01,  1.442428705381706E-01,
2460140.347222222, A.D. 2023-Jul-14 20:20:00.0000,  7.597078900653037E+04,  3.459738151228218E+05,  1.783811051735066E+05, -9.660288050085623E-01,  1.812657802867065E-01,  1.435549702352189E-01,
2460140.354166667, A.D. 2023-Jul-14 20:30:00.0000,  7.539108045304153E+04,  3.460821751752662E+05,  1.784670317329228E+05, -9.663326561929294E-01,  1.799343651624889E-01,  1.428668595520267E-01,
2460140.361111111, A.D. 2023-Jul-14 20:40:00.0000,  7.481119027960159E+04,  3.461897363260717E+05,  1.785525453632049E+05, -9.666342048637736E-01,  1.786027753128305E-01,  1.421785400481996E-01,
2460140.368055556, A.D. 2023-Jul-14 20:50:00.0000,  7.423111986768540E+04,  3.462964984712830E+05,  1.786376459395284E+05, -9.669334511327391E-01,  1.772710136701846E-01,  1.414900132828528E-01,
2460140.375000000, A.D. 2023-Jul-14 21:00:00.0000,  7.365087059869956E+04,  3.464024615087036E+05,  1.787223333380038E+05, -9.672303951157155E-01,  1.759390831656554E-01,  1.408012808146079E-01,
2460140.381944444, A.D. 2023-Jul-14 21:10:00.0000,  7.307044385397974E+04,  3.465076253378954E+05,  1.788066074356769E+05, -9.675250369328365E-01,  1.746069867289945E-01,  1.401123442015925E-01,
2460140.388888889, A.D. 2023-Jul-14 21:20:00.0000,  7.248984101478847E+04,  3.466119898601776E+05,  1.788904681105283E+05, -9.678173767084732E-01,  1.732747272885981E-01,  1.394232050014371E-01,
2460140.395833333, A.D. 2023-Jul-14 21:30:00.0000,  7.190906346231220E+04,  3.467155549786263E+05,  1.789739152414727E+05, -9.681074145712327E-01,  1.719423077715035E-01,  1.387338647712738E-01,
2460140.402777778, A.D. 2023-Jul-14 21:40:00.0000,  7.132811257765901E+04,  3.468183205980732E+05,  1.790569487083592E+05, -9.683951506539519E-01,  1.706097311033869E-01,  1.380443250677348E-01,
2460140.409722222, A.D. 2023-Jul-14 21:50:00.0000,  7.074698974185607E+04,  3.469202866251051E+05,  1.791395683919705E+05, -9.686805850936947E-01,  1.692770002085596E-01,  1.373545874469499E-01,
2460140.416666667, A.D. 2023-Jul-14 22:00:00.0000,  7.016569633584695E+04,  3.470214529680628E+05,  1.792217741740231E+05, -9.689637180317491E-01,  1.679441180099651E-01,  1.366646534645454E-01,
2460140.423611111, A.D. 2023-Jul-14 22:10:00.0000,  6.958423374048922E+04,  3.471218195370406E+05,  1.793035659371667E+05, -9.692445496136211E-01,  1.666110874291768E-01,  1.359745246756417E-01,
2460140.430555556, A.D. 2023-Jul-14 22:20:00.0000,  6.900260333655193E+04,  3.472213862438854E+05,  1.793849435649835E+05, -9.695230799890325E-01,  1.652779113863937E-01,  1.352842026348516E-01,
2460140.437500000, A.D. 2023-Jul-14 22:30:00.0000,  6.842080650471292E+04,  3.473201530021956E+05,  1.794659069419889E+05, -9.697993093119165E-01,  1.639445928004384E-01,  1.345936888962787E-01,
2460140.444444444, A.D. 2023-Jul-14 22:40:00.0000,  6.783884462555652E+04,  3.474181197273208E+05,  1.795464559536302E+05, -9.700732377404131E-01,  1.626111345887537E-01,  1.339029850135157E-01,
2460140.451388889, A.D. 2023-Jul-14 22:50:00.0000,  6.725671907957089E+04,  3.475152863363602E+05,  1.796265904862869E+05, -9.703448654368662E-01,  1.612775396673997E-01,  1.332120925396418E-01,
2460140.458333333, A.D. 2023-Jul-14 23:00:00.0000,  6.667443124714543E+04,  3.476116527481627E+05,  1.797063104272701E+05, -9.706141925678193E-01,  1.599438109510505E-01,  1.325210130272220E-01,
2460140.465277778, A.D. 2023-Jul-14 23:10:00.0000,  6.609198250856847E+04,  3.477072188833251E+05,  1.797856156648223E+05, -9.708812193040114E-01,  1.586099513529916E-01,  1.318297480283045E-01,
2460140.472222222, A.D. 2023-Jul-14 23:20:00.0000,  6.550937424402459E+04,  3.478019846641923E+05,  1.798645060881171E+05, -9.711459458203742E-01,  1.572759637851165E-01,  1.311382990944191E-01,
2460140.479166667, A.D. 2023-Jul-14 23:30:00.0000,  6.492660783359216E+04,  3.478959500148554E+05,  1.799429815872588E+05, -9.714083722960254E-01,  1.559418511579240E-01,  1.304466677765755E-01,
2460140.486111111, A.D. 2023-Jul-14 23:40:00.0000,  6.434368465724085E+04,  3.479891148611518E+05,  1.800210420532823E+05, -9.716684989142684E-01,  1.546076163805153E-01,  1.297548556252613E-01,
2460140.493055556, A.D. 2023-Jul-14 23:50:00.0000,  6.376060609482906E+04,  3.480814791306636E+05,  1.800986873781524E+05, -9.719263258625865E-01,  1.532732623605902E-01,  1.290628641904406E-01,
2460140.500000000, A.D. 2023-Jul-15 00:00:00.0000,  6.317737352610149E+04,  3.481730427527173E+05,  1.801759174547640E+05, -9.721818533326380E-01,  1.519387920044454E-01,  1.283706950215515E-01,
2460140.506944444, A.D. 2023-Jul-15 00:10:00.0000,  6.259398833068644E+04,  3.482638056583827E+05,  1.802527321769412E+05, -9.724350815203303E-01,  1.506042082169441E-01,  1.276783496674954E-01,
2460140.513888889, A.D. 2023-Jul-15 00:20:00.0000,  6.201045188809358E+04,  3.483537677804721E+05,  1.803291314394376E+05, -9.726860106255976E-01,  1.492695139015914E-01,  1.269858296766640E-01,
2460140.520833333, A.D. 2023-Jul-15 00:30:00.0000,  6.142676557771138E+04,  3.484429290535394E+05,  1.804051151379354E+05, -9.729346408526062E-01,  1.479347119604539E-01,  1.262931365969077E-01,
2460140.527777778, A.D. 2023-Jul-15 00:40:00.0000,  6.084293077880450E+04,  3.485312894138796E+05,  1.804806831690456E+05, -9.731809724096815E-01,  1.465998052941825E-01,  1.256002719755447E-01,
2460140.534722222, A.D. 2023-Jul-15 00:50:00.0000,  6.025894887051130E+04,  3.486188487995273E+05,  1.805558354303071E+05, -9.734250055093070E-01,  1.452647968020088E-01,  1.249072373593581E-01,
2460140.541666667, A.D. 2023-Jul-15 01:00:00.0000,  5.967482123184150E+04,  3.487056071502564E+05,  1.806305718201871E+05, -9.736667403681188E-01,  1.439296893817435E-01,  1.242140342945952E-01,
2460140.548611111, A.D. 2023-Jul-15 01:10:00.0000,  5.909054924167359E+04,  3.487915644075791E+05,  1.807048922380801E+05, -9.739061772069014E-01,  1.425944859297718E-01,  1.235206643269646E-01,
2460140.555555556, A.D. 2023-Jul-15 01:20:00.0000,  5.850613427875226E+04,  3.488767205147448E+05,  1.807787965843079E+05, -9.741433162505856E-01,  1.412591893410517E-01,  1.228271290016355E-01,
2460140.562500000, A.D. 2023-Jul-15 01:30:00.0000,  5.792157772168612E+04,  3.489610754167397E+05,  1.808522847601195E+05, -9.743781577282428E-01,  1.399238025091104E-01,  1.221334298632350E-01,
2460140.569444444, A.D. 2023-Jul-15 01:40:00.0000,  5.733688094894496E+04,  3.490446290602855E+05,  1.809253566676900E+05, -9.746107018730814E-01,  1.385883283260413E-01,  1.214395684558469E-01,
2460140.576388889, A.D. 2023-Jul-15 01:50:00.0000,  5.675204533885756E+04,  3.491273813938388E+05,  1.809980122101214E+05, -9.748409489224446E-01,  1.372527696825017E-01,  1.207455463230098E-01,
2460140.583333333, A.D. 2023-Jul-15 02:00:00.0000,  5.616707226960887E+04,  3.492093323675903E+05,  1.810702512914411E+05, -9.750688991178038E-01,  1.359171294677088E-01,  1.200513650077151E-01,
2460140.590277778, A.D. 2023-Jul-15 02:10:00.0000,  5.558196311923787E+04,  3.492904819334634E+05,  1.811420738166026E+05, -9.752945527047571E-01,  1.345814105694375E-01,  1.193570260524054E-01,
2460140.597222222, A.D. 2023-Jul-15 02:20:00.0000,  5.499671926563491E+04,  3.493708300451142E+05,  1.812134796914844E+05, -9.755179099330246E-01,  1.332456158740173E-01,  1.186625309989728E-01,
2460140.604166667, A.D. 2023-Jul-15 02:30:00.0000,  5.441134208653922E+04,  3.494503766579298E+05,  1.812844688228901E+05, -9.757389710564432E-01,  1.319097482663294E-01,  1.179678813887569E-01,
2460140.611111111, A.D. 2023-Jul-15 02:40:00.0000,  5.382583295953659E+04,  3.495291217290280E+05,  1.813550411185477E+05, -9.759577363329661E-01,  1.305738106298034E-01,  1.172730787625432E-01,
2460140.618055556, A.D. 2023-Jul-15 02:50:00.0000,  5.324019326205667E+04,  3.496070652172562E+05,  1.814251964871100E+05, -9.761742060246547E-01,  1.292378058464146E-01,  1.165781246605612E-01,
2460140.625000000, A.D. 2023-Jul-15 03:00:00.0000,  5.265442437137075E+04,  3.496842070831904E+05,  1.814949348381532E+05, -9.763883803976778E-01,  1.279017367966813E-01,  1.158830206224829E-01,
2460140.631944444, A.D. 2023-Jul-15 03:10:00.0000,  5.206852766458918E+04,  3.497605472891348E+05,  1.815642560821775E+05, -9.766002597223071E-01,  1.265656063596613E-01,  1.151877681874207E-01,
