JDTDB,Calendar Date (TDB),X,Y,Z,VX,VY,VZ,
2460140.375000000, A.D. 2023-Jul-14 21:00:00.0000,  7.365087059869956E+04,  3.889097061475524E+05,  2.618354898202108E+04, -9.672303951157155E-01,  2.174284858553923E-01,  5.919810134486558E-02,
2460140.395833333, A.D. 2023-Jul-14 21:30:00.0000,  7.190906346231220E+04,  3.892970373240032E+05,  2.628982943558827E+04, -9.681074145712327E-01,  2.129391452512930E-01,  5.889111015945686E-02,
2460140.416666667, A.D. 2023-Jul-14 22:00:00.0000,  7.016569633584695E+04,  3.896762858633964E+05,  2.639555632788359E+04, -9.689637180317491E-01,  2.084477928757203E-01,  5.858303445512368E-02,
2460140.437500000, A.D. 2023-Jul-14 22:30:00.0000,  6.842080650471292E+04,  3.900474482247640E+05,  2.650072771320137E+04, -9.697993093119165E-01,  2.039545178431851E-01,  5.827388137548163E-02,
2460140.458333333, A.D. 2023-Jul-14 23:00:00.0000,  6.667443124714543E+04,  3.904105210274378E+05,  2.660534165870014E+04, -9.706141925678193E-01,  1.994594091497577E-01,  5.796365807069202E-02,
2460140.479166667, A.D. 2023-Jul-14 23:30:00.0000,  6.492660783359216E+04,  3.907655010508351E+05,  2.670939624441462E+04, -9.714083722960254E-01,  1.949625556722190E-01,  5.765237169734912E-02,
2460140.500000000, A.D. 2023-Jul-15 00:00:00.0000,  6.317737352610149E+04,  3.911123852342438E+05,  2.681288956326706E+04, -9.721818533326380E-01,  1.904640461672149E-01,  5.734002941836827E-02,
2460140.520833333, A.D. 2023-Jul-15 00:30:00.0000,  6.142676557771138E+04,  3.914511706766044E+05,  2.691581972107870E+04, -9.729346408526062E-01,  1.859639692703264E-01,  5.702663840287952E-02,
2460140.541666667, A.D. 2023-Jul-15 01:00:00.0000,  5.967482123184150E+04,  3.917818546362926E+05,  2.701818483658053E+04, -9.736667403681188E-01,  1.814624134954721E-01,  5.671220582610358E-02,
2460140.562500000, A.D. 2023-Jul-15 01:30:00.0000,  5.792157772168612E+04,  3.921044345308985E+05,  2.711998304142451E+04, -9.743781577282428E-01,  1.769594672338270E-01,  5.639673886924994E-02,
2460140.583333333, A.D. 2023-Jul-15 02:00:00.0000,  5.616707226960887E+04,  3.924189079370054E+05,  2.722121248019394E+04, -9.750688991178038E-01,  1.724552187530704E-01,  5.608024471940361E-02,
2460140.604166667, A.D. 2023-Jul-15 02:30:00.0000,  5.441134208653922E+04,  3.927252725899666E+05,  2.732187131041416E+04, -9.757389710564432E-01,  1.679497561965516E-01,  5.576273056941410E-02,
2460140.625000000, A.D. 2023-Jul-15 03:00:00.0000,  5.265442437137075E+04,  3.930235263836809E+05,  2.742195770256271E+04, -9.763883803976778E-01,  1.634431675824594E-01,  5.544420361778505E-02,
2460140.645833333, A.D. 2023-Jul-15 03:30:00.0000,  5.089635631036082E+04,  3.933136673703667E+05,  2.752146984007952E+04, -9.770171343279576E-01,  1.589355408029924E-01,  5.512467106856365E-02,
2460140.666666667, A.D. 2023-Jul-15 04:00:00.0000,  4.913717507653224E+04,  3.935956937603343E+05,  2.762040591937659E+04, -9.776252403657260E-01,  1.544269636235326E-01,  5.480414013123046E-02,
2460140.687500000, A.D. 2023-Jul-15 04:30:00.0000,  4.737691782907662E+04,  3.938696039217567E+05,  2.771876414984788E+04, -9.782127063604811E-01,  1.499175236818222E-01,  5.448261802058967E-02,
2460140.708333333, A.D. 2023-Jul-15 05:00:00.0000,  4.561562171275915E+04,  3.941353963804396E+05,  2.781654275387860E+04, -9.787795404918370E-01,  1.454073084871416E-01,  5.416011195665918E-02,
2460140.729166667, A.D. 2023-Jul-15 05:30:00.0000,  4.385332385732532E+04,  3.943930698195893E+05,  2.791373996685483E+04, -9.793257512685839E-01,  1.408964054194900E-01,  5.383662916456126E-02,
2460140.750000000, A.D. 2023-Jul-15 06:00:00.0000,  4.209006137690934E+04,  3.946426230795785E+05,  2.801035403717216E+04, -9.798513475277514E-01,  1.363849017287697E-01,  5.351217687441309E-02,
2460140.770833333, A.D. 2023-Jul-15 06:30:00.0000,  4.032587136944391E+04,  3.948840551577130E+05,  2.810638322624477E+04, -9.803563384336718E-01,  1.318728845339718E-01,  5.318676232121789E-02,
