            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2458348.594714629, A.D. 2018-Aug-18 02:16:23.3440,  1.227693297166864E+08, -8.866692774415402E+07,  1.161253618058935E+04,  1.694682288226354E+01,  2.405078935446409E+01, -3.751407793545880E-03,  5.051501147630703E+02,  1.514401945638029E+08, -3.431028302113411E-01,
2458348.844714629, A.D. 2018-Aug-18 08:16:23.3440,  1.231342810684819E+08, -8.814664771161038E+07,  1.153205539364368E+04,  1.684492173622317E+01,  2.412321475259857E+01, -3.700752899117532E-03,  5.051253378519077E+02,  1.514327666327038E+08, -3.446627084878286E-01,
2458349.094714629, A.D. 2018-Aug-18 14:16:23.3440,  1.234970283037300E+08, -8.762480801759484E+07,  1.145265296209231E+04,  1.674273837037184E+01,  2.419520254506635E+01, -3.651582870096703E-03,  5.051004498106661E+02,  1.514253053856452E+08, -3.461877474000084E-01,
2458349.344714629, A.D. 2018-Aug-18 20:16:23.3440,  1.238575653490840E+08, -8.710141810858735E+07,  1.137429536851496E+04,  1.664027486322279E+01,  2.426675326367208E+01, -3.604029931242536E-03,  5.050754531263227E+02,  1.514178115682040E+08, -3.476785941281516E-01,
2458349.594714629, A.D. 2018-Aug-19 02:16:23.3440,  1.242158861752045E+08, -8.657648741993722E+07,  1.129694633501023E+04,  1.653753321241411E+01,  2.433786740713794E+01, -3.558217561257848E-03,  5.050503502385633E+02,  1.514102859117798E+08, -3.491359133822448E-01,
2458349.844714629, A.D. 2018-Aug-19 08:16:23.3440,  1.245719847950983E+08, -8.605002537658051E+07,  1.122056700568646E+04,  1.643451534246441E+01,  2.440854544097013E+01, -3.514261073270575E-03,  5.050251435386917E+02,  1.514027291332672E+08, -3.505603827649344E-01,
2458350.094714629, A.D. 2018-Aug-19 14:16:23.3440,  1.249258552626155E+08, -8.552204139375225E+07,  1.114511611710861E+04,  1.633122311171940E+01,  2.447878779806903E+01, -3.472268173410953E-03,  5.049998353688400E+02,  1.513951419348199E+08, -3.519526890827791E-01,
2458350.344714629, A.D. 2018-Aug-19 20:16:23.3440,  1.252774916710877E+08, -8.499254487767848E+07,  1.107055015667155E+04,  1.622765831847801E+01,  2.454859487993218E+01, -3.432339488631087E-03,  5.049744280214111E+02,  1.513875250036829E+08, -3.533135255284958E-01,
2458350.594714629, A.D. 2018-Aug-20 02:16:23.3440,  1.256268881520895E+08, -8.446154522623761E+07,  1.099682351030782E+04,  1.612382270630263E+01,  2.461796705831122E+01, -3.394569056748509E-03,  5.049489237386968E+02,  1.513798790120785E+08, -3.546435896541544E-01,
2458350.844714629, A.D. 2018-Aug-20 08:16:23.3440,  1.259740388743068E+08, -8.392905182958165E+07,  1.092388859977201E+04,  1.601971796853189E+01,  2.468690467719717E+01, -3.359044773509012E-03,  5.049233247126145E+02,  1.513722046171268E+08, -3.559435820550245E-01,
2458351.094714629, A.D. 2018-Aug-20 14:16:23.3440,  1.263189380424936E+08, -8.339507407071273E+07,  1.085169601101428E+04,  1.591534575202483E+01,  2.475540805502054E+01, -3.325848792819386E-03,  5.048976330845167E+02,  1.513645024607894E+08, -3.572142056845506E-01,
2458351.344714629, A.D. 2018-Aug-20 20:16:23.3440,  1.266615798965017E+08, -8.285962132601006E+07,  1.078019461422041E+04,  1.581070766017368E+01,  2.482347748696490E+01, -3.295057877657825E-03,  5.048718509450286E+02,  1.513567731698197E+08, -3.584561657232193E-01,
2458351.594714629, A.D. 2018-Aug-21 02:16:23.3440,  1.270019587103683E+08, -8.232270296570691E+07,  1.070933167701587E+04,  1.570580525522908E+01,  2.489111324730444E+01, -3.266743700200081E-03,  5.048459803338779E+02,  1.513490173557129E+08, -3.596701699267018E-01,
2458351.844714629, A.D. 2018-Aug-21 08:16:23.3440,  1.273400687914466E+08, -8.178432835431750E+07,  1.063905297158286E+04,  1.560064005998604E+01,  2.495831559168652E+01, -3.240973090775867E-03,  5.048200232396844E+02,  1.513412356146422E+08, -3.608569293823894E-01,
2458352.094714629, A.D. 2018-Aug-21 14:16:23.3440,  1.276759044795666E+08, -8.124450685101542E+07,  1.056930287699401E+04,  1.549521355888276E+01,  2.502508475929037E+01, -3.217808235872255E-03,  5.047939815996821E+02,  1.513334285273755E+08, -3.620171596065334E-01,
2458352.344714629, A.D. 2018-Aug-21 20:16:23.3440,  1.280094601462131E+08, -8.070324780996813E+07,  1.050002447792143E+04,  1.538952719856686E+01,  2.509142097480288E+01, -3.197306826290713E-03,  5.047678572993517E+02,  1.513255966591659E+08, -3.631515819185364E-01,
2458352.594714629, A.D. 2018-Aug-22 02:16:23.3440,  1.283407301937118E+08, -8.016056058063032E+07,  1.043115966052189E+04,  1.528358238798839E+01,  2.515732445016803E+01, -3.179522158367476E-03,  5.047416521719468E+02,  1.513177405596089E+08, -3.642609250332662E-01,
2458352.844714629, A.D. 2018-Aug-22 08:16:23.3440,  1.286697090544123E+08, -7.961645450800252E+07,  1.036264920660108E+04,  1.517738049808261E+01,  2.522279538607422E+01, -3.164503190225432E-03,  5.047153679978989E+02,  1.513098607624646E+08, -3.653459268134006E-01,
